Customer ID;Count;Quarter;Referred a Friend;Number of Referrals;Tenure in Months;Offer;Phone Service;Avg Monthly Long Distance Charges;Multiple Lines;Internet Service;Internet Type;Avg Monthly GB Download;Online Security;Online Backup;Device Protection Plan;Premium Tech Support;Streaming TV;Streaming Movies;Streaming Music;Unlimited Data;Contract;Paperless Billing;Payment Method;Monthly Charge;Total Charges;Total Refunds;Total Extra Data Charges;Total Long Distance Charges;Total Revenue
8399-YNDCH;1;Q3;No;0;21;None;Yes;£34,62;No;Yes;DSL;14;No;No;Yes;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£60,05;£1.236,15;£0,00;£0,00;£727,02;£1.963,17
5565-FILXA;1;Q3;No;0;16;None;Yes;£38,75;Yes;Yes;Fiber Optic;16;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£96,15;£1.529,20;£0,00;£0,00;£620,00;£2.149,20
4187-CINZD;1;Q3;No;0;46;None;Yes;£6,13;No;Yes;Fiber Optic;30;No;Yes;No;No;Yes;Yes;No;Yes;One Year;No;Credit Card;£95,25;£4.424,20;£0,00;£0,00;£281,98;£4.706,18
3372-KWFBM;1;Q3;No;0;16;None;Yes;£19,18;Yes;Yes;Fiber Optic;22;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£86,60;£1.281,00;£0,00;£0,00;£306,88;£1.587,88
8621-MNIHH;1;Q3;Yes;1;34;None;Yes;£2,88;Yes;Yes;Fiber Optic;4;No;Yes;Yes;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,25;£3.217,55;£0,00;£0,00;£97,92;£3.315,47
5419-CONWX;1;Q3;No;0;4;None;Yes;£12,68;No;Yes;Fiber Optic;10;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;£99,80;£442,85;£0,00;£0,00;£50,72;£493,57
7024-OHCCK;1;Q3;No;0;2;None;Yes;£19,27;Yes;Yes;Fiber Optic;18;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£93,85;£170,85;£0,00;£0,00;£38,54;£209,39
8017-LXHFA;1;Q3;No;0;23;Offer D;Yes;£31,17;No;Yes;Fiber Optic;23;No;Yes;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,75;£2.293,60;£0,00;£0,00;£716,91;£3.010,51
4248-QPAVC;1;Q3;Yes;1;17;Offer D;Yes;£36,82;Yes;Yes;Fiber Optic;6;Yes;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£85,35;£1.463,45;£0,00;£0,00;£625,94;£2.089,39
4510-PYUSH;1;Q3;No;0;38;None;Yes;£26,10;No;Yes;DSL;27;Yes;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Credit Card;£57,15;£2.250,65;£0,00;£0,00;£991,80;£3.242,45
4514-GFCFI;1;Q3;No;0;16;None;Yes;£17,51;Yes;Yes;Fiber Optic;7;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£84,75;£1.350,15;£0,00;£0,00;£280,16;£1.630,31
8000-REIQB;1;Q3;No;0;1;Offer E;Yes;£22,50;No;Yes;Fiber Optic;27;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£69,95;£69,95;£0,00;£10,00;£22,50;£102,45
4021-RQSNY;1;Q3;Yes;1;29;None;Yes;£25,78;Yes;Yes;Fiber Optic;28;No;No;Yes;No;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;£98,50;£3.004,15;£37,55;£40,00;£747,62;£3.754,22
8263-JQAIK;1;Q3;No;0;2;None;No;£0,00;No;Yes;DSL;6;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Credit Card;£24,45;£47,50;£0,00;£0,00;£0,00;£47,50
7576-OYWBN;1;Q3;No;0;3;None;Yes;£30,25;Yes;Yes;Fiber Optic;28;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£76,05;£231,80;£0,00;£0,00;£90,75;£322,55
5539-TMZLF;1;Q3;No;0;1;None;Yes;£33,84;No;Yes;Fiber Optic;5;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£69,75;£69,75;£0,00;£0,00;£33,84;£103,59
3001-CBHLQ;1;Q3;Yes;1;32;Offer C;Yes;£43,51;Yes;Yes;Fiber Optic;22;No;No;Yes;Yes;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£104,90;£3.351,55;£33,73;£0,00;£1.392,32;£4.710,14
4102-OQUPX;1;Q3;Yes;1;1;None;Yes;£17,36;Yes;Yes;Fiber Optic;29;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£74,40;£74,40;£0,00;£30,00;£17,36;£121,76
4550-VBOFE;1;Q3;Yes;1;70;None;Yes;£17,45;Yes;Yes;Fiber Optic;20;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£102,95;£7.101,50;£15,24;£0,00;£1.221,50;£8.307,76
8802-UNOJF;1;Q3;No;0;12;Offer D;Yes;£28,63;No;Yes;Cable;7;No;Yes;Yes;Yes;No;No;No;No;Month-to-Month;Yes;Credit Card;£83,80;£1.029,75;£44,58;£80,00;£343,56;£1.408,73
6313-GIDIT;1;Q3;No;0;53;None;No;£0,00;No;Yes;DSL;25;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£54,45;£2.854,55;£20,16;£0,00;£0,00;£2.834,39
2845-AFFTX;1;Q3;No;0;41;None;Yes;£22,56;Yes;Yes;Fiber Optic;15;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£99,80;£4.259,30;£8,88;£0,00;£924,96;£5.175,38
1891-FZYSA;1;Q3;Yes;1;69;None;Yes;£16,34;Yes;Yes;Fiber Optic;4;No;Yes;No;No;Yes;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£89,95;£6.143,15;£6,79;£110,00;£1.127,46;£7.373,82
9174-FKWZE;1;Q3;No;0;1;None;Yes;£22,92;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£19,45;£19,45;£0,00;£0,00;£22,92;£42,37
5307-DZCVC;1;Q3;No;0;32;Offer C;Yes;£48,95;Yes;Yes;Fiber Optic;9;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Credit Card;£85,95;£2.628,60;£0,00;£0,00;£1.566,40;£4.195,00
4803-AXVYP;1;Q3;No;0;38;Offer C;Yes;£47,39;Yes;Yes;Fiber Optic;2;No;No;No;Yes;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£99,55;£3.734,25;£0,00;£0,00;£1.800,82;£5.535,07
5649-ANRML;1;Q3;No;0;2;Offer E;Yes;£12,96;No;Yes;Fiber Optic;20;No;Yes;Yes;Yes;No;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£95,10;£180,25;£0,00;£0,00;£25,92;£206,17
9907-SWKKF;1;Q3;No;0;1;Offer E;No;£0,00;No;Yes;DSL;21;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Credit Card;£25,05;£25,05;£0,00;£0,00;£0,00;£25,05
2516-VQRRV;1;Q3;No;0;2;None;Yes;£23,46;Yes;Yes;Fiber Optic;25;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Credit Card;£75,45;£158,40;£0,00;£0,00;£46,92;£205,32
4988-IQIGL;1;Q3;No;0;1;None;Yes;£28,49;Yes;Yes;Fiber Optic;18;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£75,35;£75,35;£0,00;£0,00;£28,49;£103,84
2260-USTRB;1;Q3;No;0;2;None;Yes;£9,55;No;Yes;Fiber Optic;28;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£70,20;£115,95;£0,00;£0,00;£19,10;£135,05
6900-PXRMS;1;Q3;No;0;26;Offer C;Yes;£1,26;Yes;Yes;Fiber Optic;18;No;Yes;Yes;No;Yes;Yes;Yes;No;Month-to-Month;No;Bank Withdrawal;£105,75;£2.710,25;£0,00;£90,00;£32,76;£2.833,01
3346-BRMIS;1;Q3;Yes;1;18;None;No;£0,00;No;Yes;DSL;12;No;No;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£48,35;£810,70;£0,00;£0,00;£0,00;£810,70
7579-OOPEC;1;Q3;Yes;1;2;Offer E;Yes;£6,86;No;Yes;DSL;20;No;Yes;No;No;No;No;No;Yes;Month-to-Month;No;Credit Card;£50,15;£115,10;£0,00;£0,00;£13,72;£128,82
9488-HGMJH;1;Q3;No;0;1;Offer E;Yes;£24,75;No;Yes;Fiber Optic;22;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£71,15;£71,15;£0,00;£20,00;£24,75;£115,90
8337-UPOAQ;1;Q3;No;0;10;None;Yes;£16,88;Yes;Yes;Fiber Optic;24;No;No;Yes;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£89,80;£914,30;£0,00;£0,00;£168,80;£1.083,10
4039-HEUNW;1;Q3;Yes;1;36;None;Yes;£16,61;Yes;Yes;Fiber Optic;3;No;Yes;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£96,50;£3.436,10;£0,00;£0,00;£597,96;£4.034,06
2403-BCASL;1;Q3;Yes;1;41;Offer B;Yes;£45,04;Yes;Yes;Cable;29;No;Yes;Yes;Yes;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;£111,95;£4.534,90;£0,00;£0,00;£1.846,64;£6.381,54
2860-RANUS;1;Q3;No;0;20;Offer D;Yes;£29,29;Yes;Yes;Fiber Optic;15;No;No;No;No;No;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;£85,80;£1.727,50;£0,00;£0,00;£585,80;£2.313,30
0406-BPDVR;1;Q3;No;0;54;Offer B;Yes;£33,49;Yes;Yes;Fiber Optic;8;No;Yes;No;No;Yes;Yes;Yes;Yes;One Year;Yes;Credit Card;£101,50;£5.373,10;£0,00;£0,00;£1.808,46;£7.181,56
5276-KQWHG;1;Q3;No;0;2;Offer E;Yes;£15,32;No;Yes;Fiber Optic;21;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£69,60;£131,65;£0,00;£0,00;£30,64;£162,29
0324-BRPCJ;1;Q3;Yes;1;68;None;Yes;£21,33;Yes;Yes;Cable;24;No;Yes;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£100,20;£6.851,65;£0,00;£0,00;£1.450,44;£8.302,09
0495-ZBNGW;1;Q3;Yes;1;5;None;Yes;£6,66;Yes;Yes;Fiber Optic;14;No;No;Yes;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£79,90;£343,95;£0,00;£20,00;£33,30;£397,25
2034-CGRHZ;1;Q3;No;0;24;None;Yes;£3,23;Yes;Yes;Fiber Optic;26;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£102,95;£2.496,70;£0,00;£0,00;£77,52;£2.574,22
6425-YQLLO;1;Q3;Yes;1;66;None;Yes;£27,75;Yes;Yes;Fiber Optic;11;No;No;Yes;Yes;Yes;Yes;No;Yes;One Year;Yes;Credit Card;£105,95;£6.975,25;£0,00;£0,00;£1.831,50;£8.806,75
1792-UXAFY;1;Q3;No;0;17;Offer D;Yes;£30,37;No;Yes;Fiber Optic;28;No;Yes;Yes;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£89,15;£1.496,90;£0,00;£0,00;£516,29;£2.013,19
8580-QVLOC;1;Q3;No;0;72;None;Yes;£25,77;Yes;Yes;DSL;6;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Two Year;No;Credit Card;£92,45;£6.440,25;£0,00;£0,00;£1.855,44;£8.295,69
8808-ELEHO;1;Q3;No;0;8;None;Yes;£5,02;Yes;Yes;Fiber Optic;26;No;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£81,25;£585,95;£0,00;£0,00;£40,16;£626,11
6987-XQSJT;1;Q3;No;0;54;None;Yes;£45,77;Yes;Yes;Fiber Optic;10;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£79,50;£4.370,25;£0,00;£0,00;£2.471,58;£6.841,83
9965-YOKZB;1;Q3;No;0;9;None;Yes;£10,04;Yes;Yes;Fiber Optic;13;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£83,85;£790,15;£0,00;£0,00;£90,36;£880,51
0504-HHAPI;1;Q3;No;0;27;None;Yes;£16,94;Yes;Yes;Fiber Optic;11;No;No;Yes;No;No;Yes;No;Yes;Month-to-Month;No;Credit Card;£88,30;£2.467,75;£0,00;£0,00;£457,38;£2.925,13
8166-ZZTFS;1;Q3;Yes;1;66;None;Yes;£21,70;Yes;Yes;Cable;3;No;Yes;Yes;No;Yes;Yes;No;Yes;Two Year;Yes;Bank Withdrawal;£80,55;£5.265,10;£0,00;£0,00;£1.432,20;£6.697,30
2778-OCLGR;1;Q3;Yes;1;24;None;No;£0,00;No;Yes;DSL;5;Yes;No;No;No;No;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£39,10;£971,30;£0,00;£0,00;£0,00;£971,30
2055-PDADH;1;Q3;No;0;3;Offer E;Yes;£2,26;No;Yes;Fiber Optic;3;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£70,40;£204,70;£0,00;£0,00;£6,78;£211,48
2718-GAXQD;1;Q3;Yes;1;4;Offer E;Yes;£42,13;No;Yes;Cable;52;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£46,00;£181,60;£0,00;£0,00;£168,52;£350,12
7480-QNVZJ;1;Q3;No;0;50;None;Yes;£18,92;Yes;Yes;Fiber Optic;11;No;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,70;£4.816,70;£0,00;£0,00;£946,00;£5.762,70
1268-ASBGA;1;Q3;Yes;1;16;Offer D;Yes;£9,93;Yes;Yes;Fiber Optic;27;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£85,35;£1.375,15;£0,00;£0,00;£158,88;£1.534,03
3672-YITQD;1;Q3;Yes;1;36;Offer C;Yes;£31,65;Yes;Yes;Fiber Optic;15;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£84,10;£3.021,60;£0,00;£0,00;£1.139,40;£4.161,00
0643-OKLRP;1;Q3;Yes;1;47;None;Yes;£38,31;Yes;Yes;Fiber Optic;7;Yes;No;No;No;No;No;No;No;Month-to-Month;No;Bank Withdrawal;£80,35;£3.825,85;£0,00;£90,00;£1.800,57;£5.716,42
5569-OUICF;1;Q3;Yes;1;28;Offer C;Yes;£16,43;Yes;Yes;Fiber Optic;20;No;No;No;Yes;Yes;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£101,30;£2.812,20;£0,00;£0,00;£460,04;£3.272,24
5747-PMBSQ;1;Q3;Yes;1;10;None;Yes;£11,12;No;Yes;Fiber Optic;30;No;Yes;Yes;Yes;Yes;No;No;No;Month-to-Month;Yes;Credit Card;£92,50;£934,10;£0,00;£100,00;£111,20;£1.145,30
5143-EGQFK;1;Q3;No;0;10;None;No;£0,00;No;Yes;Cable;20;No;No;No;Yes;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£29,65;£291,40;£0,00;£110,00;£0,00;£401,40
7450-NWRTR;1;Q3;No;0;12;None;Yes;£21,89;Yes;Yes;Fiber Optic;26;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£99,45;£1.200,15;£0,00;£0,00;£262,68;£1.462,83
1976-CFOCS;1;Q3;Yes;1;1;None;Yes;£7,74;No;Yes;DSL;19;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£46,00;£46,00;£0,00;£0,00;£7,74;£53,74
2657-ALMWY;1;Q3;Yes;1;26;Offer C;Yes;£18,26;No;Yes;Fiber Optic;3;No;Yes;No;No;No;Yes;Yes;Yes;Month-to-Month;No;Bank Withdrawal;£84,95;£2.169,75;£0,00;£0,00;£474,76;£2.644,51
6284-AHOOQ;1;Q3;No;0;22;None;Yes;£46,11;Yes;Yes;Fiber Optic;27;No;No;No;Yes;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£90,50;£1.910,60;£0,00;£0,00;£1.014,42;£2.925,02
2460-FPSYH;1;Q3;No;0;40;None;No;£0,00;No;Yes;Cable;6;Yes;Yes;No;No;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;£55,80;£2.109,35;£0,00;£80,00;£0,00;£2.189,35
0193-ESZXP;1;Q3;Yes;1;58;None;Yes;£16,94;No;Yes;Fiber Optic;19;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;One Year;Yes;Credit Card;£105,50;£6.205,50;£0,00;£0,00;£982,52;£7.188,02
3096-JRDSO;1;Q3;Yes;5;27;Offer C;Yes;£10,19;Yes;Yes;Fiber Optic;27;Yes;No;No;Yes;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£104,30;£2.867,75;£0,00;£0,00;£275,13;£3.142,88
2398-YPMUR;1;Q3;Yes;2;13;None;Yes;£37,86;No;Yes;Fiber Optic;19;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£70,15;£916,75;£0,00;£90,00;£492,18;£1.498,93
1265-XTECC;1;Q3;Yes;5;68;None;Yes;£1,98;Yes;Yes;Fiber Optic;19;Yes;Yes;No;No;No;Yes;No;Yes;One Year;Yes;Credit Card;£96,55;£6.581,90;£0,00;£0,00;£134,64;£6.716,54
6927-WTFIV;1;Q3;No;0;20;Offer D;Yes;£5,71;No;Yes;Fiber Optic;22;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Credit Card;£71,30;£1.389,20;£0,00;£0,00;£114,20;£1.503,40
3398-ZOUAA;1;Q3;Yes;1;21;Offer D;Yes;£19,74;No;Yes;Fiber Optic;18;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£69,10;£1.474,75;£0,00;£0,00;£414,54;£1.889,29
4785-QRJHC;1;Q3;Yes;1;46;None;No;£0,00;No;Yes;DSL;15;No;Yes;Yes;Yes;Yes;Yes;No;No;One Year;Yes;Bank Withdrawal;£59,90;£2.816,65;£0,00;£150,00;£0,00;£2.966,65
1965-AKTSX;1;Q3;No;0;14;Offer D;Yes;£16,36;Yes;Yes;Fiber Optic;6;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£78,95;£1.101,85;£0,00;£0,00;£229,04;£1.330,89
6496-SLWHQ;1;Q3;No;0;3;Offer E;Yes;£35,43;Yes;Yes;Fiber Optic;18;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£105,00;£294,45;£0,00;£0,00;£106,29;£400,74
5383-MMTWC;1;Q3;Yes;1;8;None;Yes;£46,05;Yes;Yes;Fiber Optic;22;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£84,00;£613,40;£0,00;£0,00;£368,40;£981,80
6877-LGWXO;1;Q3;Yes;1;18;Offer D;Yes;£4,98;No;Yes;Fiber Optic;18;No;No;No;No;No;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£78,55;£1.422,65;£0,00;£0,00;£89,64;£1.512,29
2856-NNASM;1;Q3;No;0;43;None;Yes;£39,12;No;Yes;Fiber Optic;6;No;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Mailed Check;£89,55;£3.856,75;£0,00;£0,00;£1.682,16;£5.538,91
6769-DYBQN;1;Q3;No;0;46;None;Yes;£36,78;No;Yes;Fiber Optic;29;Yes;No;No;No;No;Yes;Yes;Yes;Month-to-Month;No;Bank Withdrawal;£85,00;£3.969,40;£0,00;£0,00;£1.691,88;£5.661,28
3296-SILRA;1;Q3;Yes;6;1;None;Yes;£41,16;No;Yes;Fiber Optic;6;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Mailed Check;£76,40;£76,40;£0,00;£0,00;£41,16;£117,56
8651-ENBZX;1;Q3;No;0;60;None;Yes;£34,39;Yes;Yes;Fiber Optic;17;No;No;Yes;Yes;Yes;Yes;No;No;One Year;Yes;Bank Withdrawal;£106,00;£6.441,40;£0,00;£110,00;£2.063,40;£8.614,80
2720-WGKHP;1;Q3;No;0;2;Offer E;Yes;£20,99;Yes;Yes;Fiber Optic;22;No;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,00;£181,70;£0,00;£0,00;£41,98;£223,68
0616-ATFGB;1;Q3;Yes;1;1;Offer E;No;£0,00;No;Yes;Cable;18;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£25,05;£25,05;£0,00;£0,00;£0,00;£25,05
7235-NXZCP;1;Q3;No;0;2;Offer E;Yes;£45,41;Yes;Yes;Fiber Optic;18;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Mailed Check;£74,85;£156,40;£0,00;£0,00;£90,82;£247,22
