Customer ID;Count;Quarter;Satisfaction Score;Satisfaction Score Label;Customer Status;Churn Label;Churn Value;Churn Score;Churn Score Category;CLTV;CLTV Category;Churn Category;Churn Reason
8337-UPOAQ;1;Q3;2;2;Churned;Yes;1;76;71-80;5.124;5001-5500;Competitor;Competitor made better offer
6712-OAWRH;1;Q3;3;3;Churned;Yes;1;76;71-80;5.154;5001-5500;Attitude;Attitude of support person
5914-DVBWJ;1;Q3;1;1;Churned;Yes;1;91;91-100;5.145;5001-5500;Competitor;Competitor offered more data
0812-WUPTB;1;Q3;2;2;Churned;Yes;1;69;61-70;3.022;3001-3500;Price;Long distance charges
4505-EXZHB;1;Q3;1;1;Churned;Yes;1;91;91-100;3.964;3501-4000;Competitor;Competitor offered more data
0576-WNXXC;1;Q3;1;1;Churned;Yes;1;75;71-80;2.999;2501-3000;Dissatisfaction;Service dissatisfaction
2357-COQEK;1;Q3;2;2;Churned;Yes;1;78;71-80;4.136;4001-4500;Competitor;Competitor made better offer
2479-BRAMR;1;Q3;1;1;Churned;Yes;1;71;71-80;4.995;4501-5000;Competitor;Competitor offered more data
8580-QVLOC;1;Q3;1;1;Churned;Yes;1;78;71-80;5.697;5501-6000;Competitor;Competitor made better offer
2012-NWRPA;1;Q3;3;3;Churned;Yes;1;71;71-80;3.172;3001-3500;Competitor;Competitor made better offer
9965-YOKZB;1;Q3;1;1;Churned;Yes;1;71;71-80;3.723;3501-4000;Dissatisfaction;Network reliability
0504-HHAPI;1;Q3;3;3;Churned;Yes;1;96;91-100;2.420;2000-2500;Other;Don't know
8166-ZZTFS;1;Q3;3;3;Churned;Yes;1;94;91-100;4.400;4001-4500;Attitude;Attitude of support person
5707-ORNDZ;1;Q3;1;1;Churned;Yes;1;79;71-80;4.656;4501-5000;Dissatisfaction;Network reliability
2718-GAXQD;1;Q3;1;1;Churned;Yes;1;92;91-100;4.797;4501-5000;Competitor;Competitor made better offer
3217-FZDMN;1;Q3;1;1;Churned;Yes;1;83;81-90;3.676;3501-4000;Competitor;Competitor had better devices
7124-UGSUR;1;Q3;1;1;Churned;Yes;1;84;81-90;4.412;4001-4500;Competitor;Competitor had better devices
1862-SKORY;1;Q3;3;3;Churned;Yes;1;91;91-100;2.296;2000-2500;Competitor;Competitor offered higher download speeds
6686-YPGHK;1;Q3;3;3;Churned;Yes;1;68;61-70;3.645;3501-4000;Other;Moved
8020-BWHYL;1;Q3;3;3;Churned;Yes;1;91;91-100;4.526;4501-5000;Competitor;Competitor offered more data
8062-YBDOE;1;Q3;2;2;Churned;Yes;1;78;71-80;5.844;5501-6000;Other;Don't know
3672-YITQD;1;Q3;1;1;Churned;Yes;1;79;71-80;2.987;2501-3000;Competitor;Competitor made better offer
3776-EKTKM;1;Q3;3;3;Churned;Yes;1;96;91-100;5.303;5001-5500;Dissatisfaction;Service dissatisfaction
0643-OKLRP;1;Q3;1;1;Churned;Yes;1;95;91-100;5.915;5501-6000;Dissatisfaction;Network reliability
8327-LZKAS;1;Q3;2;2;Churned;Yes;1;93;91-100;4.423;4001-4500;Dissatisfaction;Service dissatisfaction
1075-BGWOH;1;Q3;2;2;Churned;Yes;1;87;81-90;3.392;3001-3500;Attitude;Attitude of support person
8485-GJCDN;1;Q3;3;3;Churned;Yes;1;74;71-80;3.368;3001-3500;Competitor;Competitor made better offer
5143-EGQFK;1;Q3;2;2;Churned;Yes;1;89;81-90;5.702;5501-6000;Other;Don't know
7000-WCEVQ;1;Q3;1;1;Churned;Yes;1;85;81-90;3.866;3501-4000;Price;Long distance charges
5959-BELXA;1;Q3;2;2;Churned;Yes;1;79;71-80;2.246;2000-2500;Price;Price too high
2506-TNFCO;1;Q3;2;2;Churned;Yes;1;67;61-70;5.948;5501-6000;Dissatisfaction;Network reliability
0013-EXCHZ;1;Q3;1;1;Churned;Yes;1;68;61-70;3.464;3001-3500;Dissatisfaction;Network reliability
5550-VFRLC;1;Q3;1;1;Churned;Yes;1;68;61-70;5.056;5001-5500;Dissatisfaction;Limited range of services
2657-ALMWY;1;Q3;3;3;Churned;Yes;1;75;71-80;4.316;4001-4500;Price;Price too high
0875-CABNR;1;Q3;3;3;Churned;Yes;1;94;91-100;3.320;3001-3500;Attitude;Attitude of support person
1265-XTECC;1;Q3;1;1;Churned;Yes;1;86;81-90;5.957;5501-6000;Attitude;Attitude of service provider
1363-TXLSL;1;Q3;1;1;Churned;Yes;1;91;91-100;4.962;4501-5000;Competitor;Competitor had better devices
7136-RVDTZ;1;Q3;2;2;Churned;Yes;1;90;81-90;5.824;5501-6000;Attitude;Attitude of service provider
7248-VZQLC;1;Q3;1;1;Churned;Yes;1;72;71-80;4.661;4501-5000;Price;Price too high
6496-SLWHQ;1;Q3;3;3;Churned;Yes;1;87;81-90;5.960;5501-6000;Attitude;Attitude of support person
5383-MMTWC;1;Q3;3;3;Churned;Yes;1;91;91-100;4.819;4501-5000;Dissatisfaction;Limited range of services
5567-WSELE;1;Q3;1;1;Churned;Yes;1;87;81-90;3.019;3001-3500;Competitor;Competitor had better devices
6646-VRFOL;1;Q3;1;1;Churned;Yes;1;87;81-90;5.860;5501-6000;Competitor;Competitor had better devices
9835-ZIITK;1;Q3;1;1;Churned;Yes;1;74;71-80;4.281;4001-4500;Competitor;Competitor made better offer
8775-LHDJH;1;Q3;2;2;Churned;Yes;1;93;91-100;2.905;2501-3000;Other;Don't know
2856-NNASM;1;Q3;1;1;Churned;Yes;1;73;71-80;3.802;3501-4000;Dissatisfaction;Network reliability
2446-BEGGB;1;Q3;3;3;Churned;Yes;1;83;81-90;3.330;3001-3500;Attitude;Attitude of support person
5813-UECBU;1;Q3;2;2;Churned;Yes;1;79;71-80;2.583;2501-3000;Competitor;Competitor made better offer
1597-LHYNC;1;Q3;1;1;Churned;Yes;1;90;81-90;4.232;4001-4500;Price;Price too high
8651-ENBZX;1;Q3;3;3;Churned;Yes;1;78;71-80;5.507;5501-6000;Price;Long distance charges
8634-MPHTR;1;Q3;1;1;Churned;Yes;1;91;91-100;5.166;5001-5500;Attitude;Attitude of support person
7235-NXZCP;1;Q3;2;2;Churned;Yes;1;84;81-90;5.378;5001-5500;Competitor;Competitor made better offer
3319-DWOEP;1;Q3;3;3;Churned;Yes;1;90;81-90;5.750;5501-6000;Competitor;Competitor made better offer
2272-QAGFO;1;Q3;3;3;Churned;Yes;1;71;71-80;5.342;5001-5500;Dissatisfaction;Service dissatisfaction
7359-SSBJK;1;Q3;1;1;Churned;Yes;1;89;81-90;6.080;6001-6500;Price;Lack of affordable download/upload speed
8444-WRIDW;1;Q3;2;2;Churned;Yes;1;79;71-80;5.011;5001-5500;Attitude;Attitude of support person
1564-NTYXF;1;Q3;2;2;Churned;Yes;1;91;91-100;3.363;3001-3500;Attitude;Attitude of support person
7240-FQLHE;1;Q3;2;2;Churned;Yes;1;68;61-70;5.857;5501-6000;Attitude;Attitude of support person
0786-VSSUD;1;Q3;1;1;Churned;Yes;1;92;91-100;5.692;5501-6000;Competitor;Competitor had better devices
3668-QPYBK;1;Q3;1;1;Churned;Yes;1;86;81-90;3.239;3001-3500;Competitor;Competitor made better offer
7892-POOKP;1;Q3;3;3;Churned;Yes;1;84;81-90;5.003;5001-5500;Other;Moved
0280-XJGEX;1;Q3;1;1;Churned;Yes;1;89;81-90;5.340;5001-5500;Competitor;Competitor had better devices
4190-MFLUW;1;Q3;1;1;Churned;Yes;1;78;71-80;5.925;5501-6000;Competitor;Competitor made better offer
4080-OGPJL;1;Q3;1;1;Churned;Yes;1;66;61-70;2.662;2501-3000;Other;Don't know
2135-RXIHG;1;Q3;1;1;Churned;Yes;1;73;71-80;2.600;2501-3000;Competitor;Competitor had better devices
3874-EQOEP;1;Q3;1;1;Churned;Yes;1;94;91-100;2.786;2501-3000;Competitor;Competitor had better devices
0691-JVSYA;1;Q3;1;1;Churned;Yes;1;80;71-80;4.328;4001-4500;Competitor;Competitor had better devices
6317-YPKDH;1;Q3;1;1;Churned;Yes;1;95;91-100;4.534;4501-5000;Competitor;Competitor had better devices
1285-OKIPP;1;Q3;2;2;Churned;Yes;1;91;91-100;3.394;3001-3500;Attitude;Attitude of support person
7825-ECJRF;1;Q3;1;1;Churned;Yes;1;71;71-80;3.764;3501-4000;Dissatisfaction;Network reliability
0742-MOABM;1;Q3;2;2;Churned;Yes;1;82;81-90;3.394;3001-3500;Competitor;Competitor made better offer
1251-KRREG;1;Q3;3;3;Churned;Yes;1;81;81-90;2.556;2501-3000;Price;Price too high
6323-AYBRX;1;Q3;3;3;Churned;Yes;1;83;81-90;5.084;5001-5500;Price;Price too high
7563-BIUPC;1;Q3;2;2;Churned;Yes;1;69;61-70;5.715;5501-6000;Competitor;Competitor made better offer
2321-OMBXY;1;Q3;1;1;Churned;Yes;1;81;81-90;2.071;2000-2500;Other;Don't know
0219-YTZUE;1;Q3;3;3;Churned;Yes;1;73;71-80;4.939;4501-5000;Competitor;Competitor made better offer
4572-DVCGN;1;Q3;3;3;Churned;Yes;1;85;81-90;3.598;3501-4000;Competitor;Competitor made better offer
5167-ZFFMM;1;Q3;3;3;Churned;Yes;1;81;81-90;3.424;3001-3500;Competitor;Competitor made better offer
0578-SKVMF;1;Q3;1;1;Churned;Yes;1;88;81-90;3.804;3501-4000;Competitor;Competitor had better devices
2957-LOLHO;1;Q3;3;3;Churned;Yes;1;68;61-70;2.887;2501-3000;Competitor;Competitor made better offer
0256-LTHVJ;1;Q3;1;1;Churned;Yes;1;91;91-100;5.201;5001-5500;Competitor;Competitor had better devices
0880-TKATG;1;Q3;1;1;Churned;Yes;1;84;81-90;4.417;4001-4500;Competitor;Competitor had better devices
4640-UHDOS;1;Q3;1;1;Churned;Yes;1;91;91-100;4.498;4001-4500;Competitor;Competitor had better devices
0306-JAELE;1;Q3;1;1;Churned;Yes;1;66;61-70;4.192;4001-4500;Competitor;Competitor made better offer
0447-BEMNG;1;Q3;1;1;Churned;Yes;1;65;61-70;4.926;4501-5000;Price;Price too high
7783-YKGDV;1;Q3;1;1;Churned;Yes;1;76;71-80;2.538;2501-3000;Price;Lack of affordable download/upload speed
4636-QRJKY;1;Q3;3;3;Churned;Yes;1;91;91-100;5.032;5001-5500;Price;Price too high
1342-JPNKI;1;Q3;3;3;Churned;Yes;1;85;81-90;2.966;2501-3000;Other;Don't know
0939-YAPAF;1;Q3;3;3;Churned;Yes;1;72;71-80;2.744;2501-3000;Competitor;Competitor offered higher download speeds
0719-SYFRB;1;Q3;1;1;Churned;Yes;1;67;61-70;5.670;5501-6000;Competitor;Competitor offered higher download speeds
6543-CPZMK;1;Q3;2;2;Churned;Yes;1;83;81-90;2.573;2501-3000;Competitor;Competitor offered more data
4765-OXPPD;1;Q3;1;1;Churned;Yes;1;76;71-80;3.983;3501-4000;Competitor;Competitor offered more data
0887-HJGAR;1;Q3;3;3;Churned;Yes;1;95;91-100;2.295;2000-2500;Competitor;Competitor offered higher download speeds
9576-ANLXO;1;Q3;1;1;Churned;Yes;1;87;81-90;2.876;2501-3000;Competitor;Competitor offered higher download speeds
4464-JCOLN;1;Q3;3;3;Churned;Yes;1;68;61-70;2.362;2000-2500;Attitude;Attitude of support person
5650-VDUDS;1;Q3;2;2;Churned;Yes;1;93;91-100;2.038;2000-2500;Competitor;Competitor made better offer
7538-GWHML;1;Q3;2;2;Churned;Yes;1;80;71-80;2.323;2000-2500;Competitor;Competitor made better offer
3859-CVCET;1;Q3;1;1;Churned;Yes;1;78;71-80;2.864;2501-3000;Competitor;Competitor had better devices
2276-YDAVZ;1;Q3;3;3;Churned;Yes;1;92;91-100;4.965;4501-5000;Competitor;Competitor made better offer
7133-VBDCG;1;Q3;2;2;Churned;Yes;1;91;91-100;4.535;4501-5000;Competitor;Competitor made better offer
1029-QFBEN;1;Q3;2;2;Churned;Yes;1;95;91-100;3.556;3501-4000;Competitor;Competitor made better offer
4952-YSOGZ;1;Q3;3;3;Churned;Yes;1;95;91-100;5.640;5501-6000;Competitor;Competitor made better offer
1894-IGFSG;1;Q3;1;1;Churned;Yes;1;82;81-90;3.161;3001-3500;Competitor;Competitor had better devices
7379-POKDZ;1;Q3;1;1;Churned;Yes;1;66;61-70;3.038;3001-3500;Competitor;Competitor had better devices
3900-AQPHZ;1;Q3;2;2;Churned;Yes;1;91;91-100;4.248;4001-4500;Attitude;Attitude of support person
7314-OXENN;1;Q3;3;3;Churned;Yes;1;90;81-90;3.051;3001-3500;Competitor;Competitor made better offer
1820-TQVEV;1;Q3;2;2;Churned;Yes;1;76;71-80;3.042;3001-3500;Attitude;Attitude of support person
3104-OWCGK;1;Q3;3;3;Churned;Yes;1;76;71-80;4.111;4001-4500;Other;Moved
9101-BWFSS;1;Q3;2;2;Churned;Yes;1;82;81-90;4.274;4001-4500;Other;Moved
3027-ZTDHO;1;Q3;1;1;Churned;Yes;1;80;71-80;5.951;5501-6000;Other;Don't know
9944-HKVVB;1;Q3;1;1;Churned;Yes;1;77;71-80;5.861;5501-6000;Competitor;Competitor had better devices
4124-MMETB;1;Q3;2;2;Churned;Yes;1;85;81-90;3.665;3501-4000;Competitor;Competitor offered higher download speeds
3671-SHRSP;1;Q3;3;3;Churned;Yes;1;86;81-90;3.080;3001-3500;Competitor;Competitor offered more data
4315-MURBD;1;Q3;1;1;Churned;Yes;1;71;71-80;5.559;5501-6000;Price;Price too high
9734-YWGEX;1;Q3;2;2;Churned;Yes;1;81;81-90;2.954;2501-3000;Price;Price too high
2719-BDAQO;1;Q3;1;1;Churned;Yes;1;93;91-100;4.940;4501-5000;Price;Price too high
9625-QSTYE;1;Q3;1;1;Churned;Yes;1;79;71-80;4.806;4501-5000;Competitor;Competitor had better devices
3842-IYKUE;1;Q3;2;2;Churned;Yes;1;88;81-90;2.455;2000-2500;Competitor;Competitor offered more data
6641-XRPSU;1;Q3;2;2;Churned;Yes;1;93;91-100;2.318;2000-2500;Competitor;Competitor offered more data
8357-EQXFO;1;Q3;2;2;Churned;Yes;1;92;91-100;3.077;3001-3500;Competitor;Competitor made better offer
6993-OHLXR;1;Q3;1;1;Churned;Yes;1;84;81-90;5.225;5001-5500;Competitor;Competitor had better devices
4695-VADHF;1;Q3;1;1;Churned;Yes;1;84;81-90;2.989;2501-3000;Competitor;Competitor had better devices
1624-WOIWJ;1;Q3;1;1;Churned;Yes;1;69;61-70;5.686;5501-6000;Competitor;Competitor had better devices
4607-CHPCA;1;Q3;3;3;Churned;Yes;1;91;91-100;5.801;5501-6000;Competitor;Competitor made better offer
0927-LCSMG;1;Q3;3;3;Churned;Yes;1;75;71-80;3.331;3001-3500;Competitor;Competitor offered more data
0841-NULXI;1;Q3;1;1;Churned;Yes;1;71;71-80;3.958;3501-4000;Other;Don't know
7851-WZEKY;1;Q3;2;2;Churned;Yes;1;82;81-90;2.414;2000-2500;Competitor;Competitor made better offer
0107-WESLM;1;Q3;2;2;Churned;Yes;1;66;61-70;3.874;3501-4000;Attitude;Attitude of support person
3927-NLNRY;1;Q3;3;3;Churned;Yes;1;96;91-100;5.414;5001-5500;Other;Moved
1373-ORVIZ;1;Q3;1;1;Churned;Yes;1;91;91-100;2.860;2501-3000;Competitor;Competitor had better devices
9866-QEVEE;1;Q3;1;1;Churned;Yes;1;91;91-100;4.857;4501-5000;Competitor;Competitor had better devices
5835-BEQEU;1;Q3;2;2;Churned;Yes;1;92;91-100;4.428;4001-4500;Competitor;Competitor made better offer
5552-ZNFSJ;1;Q3;3;3;Churned;Yes;1;66;61-70;4.568;4501-5000;Other;Poor expertise of online support
7595-EUIVN;1;Q3;1;1;Churned;Yes;1;70;61-70;3.940;3501-4000;Competitor;Competitor had better devices
7993-PYKOF;1;Q3;1;1;Churned;Yes;1;80;71-80;2.587;2501-3000;Dissatisfaction;Network reliability
5027-XWQHA;1;Q3;2;2;Churned;Yes;1;78;71-80;2.087;2000-2500;Dissatisfaction;Network reliability
0201-OAMXR;1;Q3;1;1;Churned;Yes;1;87;81-90;4.838;4501-5000;Dissatisfaction;Network reliability
6393-WRYZE;1;Q3;2;2;Churned;Yes;1;87;81-90;3.979;3501-4000;Other;Don't know
3838-OZURD;1;Q3;1;1;Churned;Yes;1;96;91-100;5.723;5501-6000;Competitor;Competitor had better devices
9269-CQOOL;1;Q3;1;1;Churned;Yes;1;66;61-70;3.335;3001-3500;Competitor;Competitor had better devices
7943-RQCHR;1;Q3;2;2;Churned;Yes;1;83;81-90;2.893;2501-3000;Competitor;Competitor offered more data
7721-JXEAW;1;Q3;2;2;Churned;Yes;1;70;61-70;4.324;4001-4500;Competitor;Competitor offered higher download speeds
0471-LVHGK;1;Q3;2;2;Churned;Yes;1;86;81-90;2.041;2000-2500;Competitor;Competitor offered higher download speeds
7861-UVUFT;1;Q3;1;1;Churned;Yes;1;86;81-90;4.003;4001-4500;Competitor;Competitor had better devices
0680-DFNNY;1;Q3;2;2;Churned;Yes;1;90;81-90;2.055;2000-2500;Competitor;Competitor offered more data
7767-UXAGJ;1;Q3;3;3;Churned;Yes;1;68;61-70;2.928;2501-3000;Competitor;Competitor made better offer
1571-SAVHK;1;Q3;1;1;Churned;Yes;1;80;71-80;5.598;5501-6000;Competitor;Competitor had better devices
4763-PGDPO;1;Q3;1;1;Churned;Yes;1;88;81-90;4.494;4001-4500;Competitor;Competitor had better devices
5394-SVGJV;1;Q3;1;1;Churned;Yes;1;82;81-90;3.066;3001-3500;Competitor;Competitor made better offer
7079-QRCBC;1;Q3;1;1;Churned;Yes;1;85;81-90;4.016;4001-4500;Competitor;Competitor had better devices
1092-GANHU;1;Q3;2;2;Churned;Yes;1;87;81-90;3.182;3001-3500;Competitor;Competitor offered more data
5766-XQXMQ;1;Q3;1;1;Churned;Yes;1;79;71-80;5.449;5001-5500;Competitor;Competitor made better offer
8519-QJGJD;1;Q3;2;2;Churned;Yes;1;71;71-80;4.995;4501-5000;Attitude;Attitude of service provider
2886-KEFUM;1;Q3;3;3;Churned;Yes;1;96;91-100;6.144;6001-6500;Attitude;Attitude of support person
1205-WNWPJ;1;Q3;3;3;Churned;Yes;1;91;91-100;4.661;4501-5000;Other;Moved
3092-IGHWF;1;Q3;2;2;Churned;Yes;1;65;61-70;4.421;4001-4500;Competitor;Competitor made better offer
2929-QNSRW;1;Q3;1;1;Churned;Yes;1;90;81-90;4.886;4501-5000;Competitor;Competitor made better offer
1262-OPMFY;1;Q3;3;3;Churned;Yes;1;92;91-100;5.105;5001-5500;Competitor;Competitor made better offer
5442-XSDCW;1;Q3;1;1;Churned;Yes;1;91;91-100;3.469;3001-3500;Competitor;Competitor made better offer
3049-NDXFL;1;Q3;3;3;Churned;Yes;1;89;81-90;2.850;2501-3000;Competitor;Competitor made better offer
1228-FZFRV;1;Q3;1;1;Churned;Yes;1;79;71-80;5.536;5501-6000;Price;Extra data charges
4829-AUOAX;1;Q3;2;2;Churned;Yes;1;77;71-80;2.712;2501-3000;Price;Extra data charges
9158-VCTQB;1;Q3;1;1;Churned;Yes;1;96;91-100;4.963;4501-5000;Price;Extra data charges
4423-YLHDV;1;Q3;1;1;Churned;Yes;1;67;61-70;5.570;5501-6000;Attitude;Attitude of support person
0107-YHINA;1;Q3;1;1;Churned;Yes;1;93;91-100;4.214;4001-4500;Competitor;Competitor had better devices
4116-TZAQJ;1;Q3;1;1;Churned;Yes;1;76;71-80;5.393;5001-5500;Attitude;Attitude of support person
